"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00202783","FIFE LAKE 2 WNW, MI US","2016",,"343","343","       159","       100","      113","        40","         6","       167","        73","       125","         4","-8","21","8.8","1.46","91","7462",,,"7462",,,,,,,,,,,"35.24",,"120.6","45.1","55.2","35.0",,,,,,,,
"USC00204967","LUPTON 1 S, MI US","2016",,,,,,,,,,,,,,,,,,"7432",,,"7432",,,,,,,,,,,,,,,,,,,,,,,,
"USC00202423","EAST TAWAS, MI US","2016",,"554","554","       114","        70","       92","        14","        11","       152","        50","       125","         4","-11","11","9.0","1.38","97","7021",,,"7021",,,,,,,,,,,"33.16",,"67.7","47.2","57.1","37.3",,,,,,,,
"USC00208774","WELLSTON 1 N, MI US","2016",,"471","471","       173","        93","      101","        44","         7","       171","        52","       140","         6","-7","16","7.1","2.36","93","6623",,,"6623",,,,,,,,,,,"36.86",,"142.4","47.4","58.1","36.7",,,,,,,,
"USR0000MDOE","DOE LAKE MICHIGAN, MI US","2016",,"204","204",,,,,"        31","       190","        71","       116","         5","-22",,,,"93",,,,,,,,,,,,,,,,,,"42.5","54.0","31.1",,,,,,,,
"US1MIKN0039","WYOMING 0.5 NNE, MI US","2016",,,,"       155","        88",,,,,,,,,,,"1.76",,,,,,,,,,,,,,,,"43.15",,,,,,,,,,,,,
"USC00206354","PARADISE, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00209188","YALE 1 NNW, MI US","2016",,,,,,"       52","        11","         7","       133","        50","       124","        12","-14","10","9.4",,"93",,,,,,,,,,,,,,,"31.35",,"50.5","48.3","58.5","38.0",,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2016","8.1","1100","1100","       120","        64",,,"         0","       114","        38","       145","        18","1",,,"4.07","95","5442",,,"5442",,,,,,,,,,,"36.78",,,"52.3","60.7","43.9",,"       260","       270",,,"36.9","52.1",
"USC00208772","WELLSTON TIPPY DAM, MI US","2016",,,,"       152","        87",,,,,,,,,,,"2.00",,,,,,,,,,,,,,,,"33.57",,,,,,,,,,,,,
"USW00014824","ESCANABA, MI US","2016",,,,"       150","        65","       93","        12",,,,,,,"7","4.4","1.68",,,,,,,,,,,,,,,,"27.15",,"46.4",,,,,,,,,,,
"US1MIHL0001","LITCHFIELD 0.3 ENE, MI US","2016",,,,"       137","        69",,,,,,,,,,,"3.95",,,,,,,,,,,,,,,,"34.24",,,,,,,,,,,,,
"USC00204258","KALKASKA 11 SE, MI US","2016",,"285","285","       173","        92","      128","        41","        13","       182","        80","       117","         1","-12","19","13.8","1.04","90","8049",,,"8049",,,,,,,,,,,"36.50",,"175.1","43.3","53.8","32.9",,,,,,,,
