"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00200417","BAD AXE, MI US","2015",,,,"       149","        71",,,,,"        67","       126","         2",,,,"1.84","90","7899",,,"7899",,,,,,,,,,,"33.13",,,,"55.3",,,,,,,,,
"USC00200779","BIG RAPIDS WATER TREATMENT PLANT, MI US","2015",,"339","339","       159","        81","       75","        15","        30","       153","        67","       125","         2","-24","9","6.1","2.24","90","8210",,,"8210",,,,,,,,,,,"39.33",,"54.8","44.9","55.7","34.2",,,,,,,,
"USC00200770","BIG BAY 1 NW, MI US","2015",,,,,,,,,,,,,,,,,,"9318",,,"9318",,,,,,,,,,,,,,,,,,,,,,,,
"USC00201502","CHELSEA, MI US","2015",,"542","542","       126","        73",,,"        22","       133","        63","       148","         3","-25",,,"2.43","91","7271",,,"7271",,,,,,,,,,,"29.83",,,"47.8","58.0","37.6",,,,,,,,
"USW00094815","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","2015","7.8",,,"       125","        62",,,,,"        54","       146","         3",,,,"2.08","92",,,,,,,,,,,,,,,"32.31",,,,"59.1",,,"       320","       320",,,"38.0","52.1",
"USC00208941","WHITE LAKE 4 E, MI US","2015",,"331","331","       138","        66",,,"        30","       142","        67","       135","         0","-25",,,"1.60","87","7978",,,"7978",,,,,,,,,,,"32.49",,,"45.7","55.7","35.7",,,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2015","8.1","606","606","       116","        55",,,"        16","       129","        61","       144","         5","-19",,,"1.47","91","7313",,,"7313",,,,,,,,,,,"24.44",,,"48.2","57.6","38.8",,"       260","       300",,,"42.9","53.9",
"USC00209110","WYANDOTTE, MI US","2015",,,,"       143","        70",,,,,,,,,,,"2.03",,,,,,,,,,,,,,,,"34.61",,,,,,,,,,,,,
"USW00094814","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","2015","7.8","311","311","       124","        67","       83","        13","        27","       161","        72","       124","         2","-29","16","4.3","1.32","91","8656",,,"8656",,,,,,,,,,,"28.17",,"33.2","44.1","54.7","33.4",,"       310","       320",,,"46.1","57.9",
"USW00054810","CHATHAM 1 SE, MI US","2015",,"169","169","       147","        80",,,"        40","       175","        78","        91","         2","-31",,,"2.15","92","9951",,,"9951",,,,,,,,,,,"32.62",,,"40.5","50.7","30.3",,,,,,,,
"USW00054813","MUNSING LAKESHORE, MI US","2015","8.7","361","361","       175","        86",,,"        20","       143","        68","       101","         1","-21",,,"1.67","95",,,,,,,,,,,,,,,"33.68",,,"43.9","52.4","35.3",,"        10","        10",,,"38.9","48.1",
"US1MIKN0053","ADA 1.8 W, MI US","2015",,,,"       150","        83",,"        21",,,,,,,,"6.0","2.64",,,,,,,,,,,,,,,,"37.21",,"53.2",,,,,,,,,,,
"USC00204104","IRONWOOD, MI US","2015",,"253","253","       170","        91",,,"        38","       172","        92","       101","         0","-25",,,"3.45","89","9796",,,"9796",,,,,,,,,,,"39.00",,,"40.9","50.4","31.4",,,,,,,,
"USC00205434","MIDLAND, MI US","2015",,,,"       109","        66",,,,,,,,,,,"3.87",,"7182",,,"7182",,,,,,,,,,,"36.54",,,,,,,,,,,,,
"USC00208706","WATTON 2 WSW, MI US","2015",,"218","218","       150","        77","      128","        29","        37","       172","        91","        93","         0","-25","22","5.6","1.62","87","9705",,,"9705",,,,,,,,,,,"28.69",,"74.5","40.5","49.2","31.8",,,,,,,,
"USC00203932","HOUGHTON LAKE 6 WSW, MI US","2015",,"283","283","       124","        72","       80","        20","        37","       179","        66","       127","         6","-32","15","6.0","1.35","92",,,,,,,,,,,,,,,"28.85",,"39.4","43.4","55.8","31.1",,,,,,,,
"USC00207188","RUDYARD 5 SE, MI US","2015",,,,"       135","        87","      113","        28",,,,,,,"21","8.0","2.01",,"10347",,,"10347",,,,,,,,,,,"33.25",,"61.5",,,,,,,,,,,
"US1MISW0005","DURAND 6.2 WNW, MI US","2015",,,,"       158","        73",,,,,,,,,,,"1.97",,,,,,,,,,,,,,,,"32.01",,,,,,,,,,,,,
"USC00203628","HARRISVILLE 2 NNE, MI US","2015",,"212","212","       120","        50","       82","        16","        26","       140","        69","        75","         0","-16","8","7.9","1.03","87","8538",,,"8538",,,,,,,,,,,"21.59",,"48.9","43.8","51.5","36.2",,,,,,,,
"US1MIOD0003","LUZERNE 2.4 NE, MI US","2015",,,,"       127","        70",,,,,,,,,,,"2.13",,,,,,,,,,,,,,,,"33.89",,,,,,,,,,,,,
"USR0000MWDO","WINDIGO MICHIGAN, MI US","2015",,"143","143",,,,,"        29","       145","        83","        72","         0","-17",,,,"88","9265",,,"9265",,,,,,,,,,,,,,"41.1","48.2","34.0",,,,,,,,
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","2015",,"591","591","       128","        66","       62","        12","        15","       119","        54","       138","         6","-16","14","6.2","2.60","93","7154",,,"7154",,,,,,,,,,,"33.58",,"40.8","48.4","57.7","39.1",,,,,,,,
"USC00200230","ANN ARBOR U OF MICH, MI US","2015",,"747","747","       169","        74",,,"        16","       113","        53","       153","         7","-15",,,"2.00","91","6741","71",,"6741","78",,"24",,"25",,"48",,"52",,"34.98",,,"50.1","59.6","40.6",,,,,,,,
"USC00203744","HERMAN, MI US","2015",,,,,,"      154","        45",,,,,,,"44","7.1",,,"10935",,,"10935",,,,,,,,,,,,,"145.4",,,,,,,,,,,
"US1MIBZ0001","BENZONIA 5.3 S, MI US","2015",,,,"       171","        88",,,,,,,,,,,"1.99",,,,,,,,,,,,,,,,"38.97",,,,,,,,,,,,,
"USC00204161","JACOBSVILLE, MI US","2015",,"179","179","       156","        64","      122","        26","        40","       194","        85","        84","         1","-26","22","7.8","1.98","92","10151",,,"10151",,,,,,,,,,,"26.26",,"84.3","39.9","50.3","29.6",,,,,,,,
"USC00207312","SALINE 4 SW, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.39",,,,,,,,,,,,,
"USC00203078","GARDEN CORNERS, MI US","2015",,"225","225","       143","        79",,,"        42","       177","        71","       101","         0","-34",,,"2.04","88","9465",,,"9465",,,,,,,,,,,"38.10",,,"41.5","51.8","31.2",,,,"       270",,,,"46.1"
"US1MIWS0007","ANN ARBOR 3.1 SE, MI US","2015",,,,"       131","        54",,"         6",,,,,,,,"9.1","1.79",,,,,,,,,,,,,,,,"30.32",,"24.1",,,,,,,,,,,
