"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00200925","BOYNE FALLS, MI US","45.1672","-84.9138","221.9","2011",,"782","782","       145","        77","       67","        31","        12","       163","        65","       134","        23","-26","12","8.0","2.90","96","7409",,,"7409",,,,,,,,,,,"36.43","82.1","47.2","57.4","37.1",,,,,,,
"USC00205810","NEWBERRY 1 N, MI US","46.3724","-85.5089","219.5","2011",,,,,,,,,,,,,,,,,,"9188",,,"9188",,,,,,,,,,,,,,,,,,,,,,
"USW00014815","BATTLE CREEK KELLOGG AIRPORT, MI US","42.31192","-85.24147","282.5","2011","8.5","785","785","       147","        79",,,"         2","       134","        49","       128","        11","-11",,,"2.07","97","6638",,,"6638",,,,,,,,,,,"37.96",,"49.2","57.8","40.5","       260","       250",,,"44.1","61.1",
"US1MIKN0031","BYRON CENTER 2.9 NE, MI US","42.841573","-85.683517","217.6","2011",,,,"       158","        86",,,,,,,,,,,"3.27",,,,,,,,,,,,,,,,"45.84",,,,,,,,,,,
"USC00203632","HART 3 WSW, MI US","43.6751","-86.4228","236.2","2011",,"534","534","       136","        74","       72","        28","         1","       155","        56","       117","         5","-10","21","14.0","2.03","91",,,,,,,,,,,,,,,"35.92","86.0","47.0","56.1","37.9",,,,,,,
"USW00014817","CADILLAC, MI US","44.2655","-85.3966","394.7","2011",,"457","457","       161","        74",,,"        19","       171","        67","       114","         4","-14",,,"2.12","93","8224",,,"8224",,,,,,,,,,,"38.24",,"44.6","54.6","34.6",,,,,,,
"USC00202788","FIFE LAKE 3 WSW, MI US","44.565","-85.4133","338.9","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204967","LUPTON 1 S, MI US","44.4199","-84.0232","276.8","2011",,"363","363",,,,,"        23","       184","        65","       117","        13","-21",,,,"96","8052",,,"8052",,,,,,,,,,,,,"43.5","55.3","31.7",,,,,,,
"USC00202423","EAST TAWAS, MI US","44.2838","-83.5036","178.6","2011",,"475","475",,,"       92","        20","        12","       156","        58","       115","         9","-6","18","7.0",,"97","7768",,,"7768",,,,,,,,,,,,"60.9","45.6","55.2","36.1",,,,,,,
"USC00206228","ONTONAGON 8 WSW, MI US","46.8374","-89.4833","186.8","2011",,"132","132","       162","       105",,,"        13","       193","       103","        67","         1","-9",,,"1.68","94",,,,,,,,,,,,,,,"35.78",,"39.7","47.4","31.9",,,,,,,
"USC00207684","SOUTH BOARDMAN 2 W, MI US","44.6391","-85.325","318.8","2011",,,,"       143","        88","       95","        37",,,,,,,"20","6.9","2.79",,,,,,,,,,,,,,,,"40.53","102.8",,,,,,,,,,
"USC00208774","WELLSTON 1 N, MI US","44.2294","-85.9572","235.6","2011",,"519","519","       161","        79","       87","        32","        13","       168","        57","       130","         9","-15","19","8.2","5.55","96","7650",,,"7650",,,,,,,,,,,"40.09","107.1","46.1","56.6","35.6",,,,,,,
"USR0000MDOE","DOE LAKE MICHIGAN, MI US","46.2536","-86.7142","248.4","2011",,"200","200",,,,,"        25","       201","        82","       110","         8","-26",,,,"92","9043",,,"9043",,,,,,,,,,,,,"40.9","52.4","29.4",,,,,,,
